Month,ID,Annual_Income,Monthly_Inhand_Salary,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Amount_invested_monthly,Monthly_Balance
January,15,25546.26,2415.855,14,16,20,758.44,37.41820917,53.10459911,337.1522635
February,15,25546.26,2415.855,14,16,20,758.44,29.71137554,300.3232317,129.933631
March,15,25546.26,2415.855,14,16,20,758.44,25.41361674,91.21658676,319.0402759
April,15,25546.26,2415.855,14,16,17,758.44,35.94627822,83.71475049,306.5421121
May,15,25546.26,2415.855,14,-1,0,758.44,28.27742001,311.9993475,118.2575152
June,15,25546.26,2415.855,14,4,2,758.44,34.58659949,61.73074847,338.5261142
January,16,31993.78,2942.148333,7,4,0,818.22,25.36959679,81.99883506,447.0747001
February,16,31993.78,2942.148333,7,4,2,818.22,37.95856941,10000,157.8698035
March,16,31993.78,2942.148333,7,4,2,818.22,27.38010905,264.2570885,274.8164466
April,16,31993.78,2942.148333,7,4,0,818.22,34.15826212,152.4523259,376.6212092
May,16,31993.78,2942.148333,7,4,2,818.22,30.7880388,43.47040867,455.6031264
June,16,31993.78,2942.148333,7,-1,0,818.22,34.28096872,112.7238874,396.3496477
January,17,92047.08,2942.148333,16,10,8,1296.64,37.11561494,154.6341231,854.5248769
February,17,92047.08,7591.59,16,10,10,1296.64,39.46775837,710.4953807,328.6636193
March,17,92047.08,7591.59,16,15,11,1296.64,27.79278836,175.4456227,823.7133773
April,17,92047.08,7591.59,16,10,7,1296.64,42.94468168,120.9075538,878.2514462
May,17,92047.08,7591.59,16,10,8,1296.64,34.35765024,78.71934549,920.4396545
June,17,92047.08,7591.59,16,10,8,1296.64,28.77693774,266.5850272,782.5739728
January,18,32284.62,2898.385,17,10,8,1283.37,28.94089259,254.8616151,211.9393246
February,18,32284.62,2898.385,17,10,8,1283.37,27.86131019,103.2103074,353.5906322
March,18,32284.62,2898.385,17,23,9,1283.37,27.88169704,35.79356841,391.0073712
April,18,32284.62,2898.385,17,23,9,1283.37,38.39455822,280.2182538,196.5826859
May,18,32284.62,2898.385,17,23,9,1283.37,33.23978443,154.0197492,292.7811904
June,18,32284.62,2898.385,17,22,7,1283.37,26.87446741,272.2735499,204.5273897
January,19,97791.42,8079.285,12,22,9,107.41,25.71557884,451.2465194,646.6819806
February,19,97791.42,8079.285,12,23,6,107.41,28.71120252,322.7203197,755.2081803
March,19,97791.42,8079.285,12,21,9,107.41,34.92287233,176.2642258,881.6642742
April,19,97791.42,8079.285,12,23,9,107.41,26.51363149,499.24502,588.68348
May,19,97791.42,8079.285,12,16,14,107.41,38.64911431,77.60922834,970.3192717
June,19,97791.42,8079.285,12,16,13,107.41,44.67688859,108.3039386,939.6245614
January,20,19300.34,1512.361667,17,16,10,2430.21,29.93418573,79.17641583,312.4876886
February,20,19300.34,1512.361667,17,16,10,2430.21,36.64120358,55.29821299,306.3658914
March,20,19300.34,1512.361667,17,16,13,2430.21,37.62486247,140.8185959,230.8455085
April,20,19300.34,1512.361667,17,16,10,2430.21,28.87038692,61.42802987,300.2360745
May,20,19300.34,1512.361667,17,16,14,2430.21,28.05884596,173.0425508,218.6215536
June,20,19300.34,1512.361667,17,15,13,2430.21,25.84779062,83.44744883,288.2166556
January,21,19514.88,1828.24,17,8,14,881.4,26.08454275,50.14372714,382.6802729
February,21,19514.88,1828.24,17,12,14,881.4,25.66585678,10000,381.8960652
March,21,19514.88,1828.24,17,8,14,881.4,33.66946005,43.31582446,389.5081755
April,21,19514.88,1828.24,17,8,14,881.4,34.50370724,45.38882031,387.4351797
May,21,19514.88,1828.24,17,8,14,881.4,41.1763842,168.3414629,304.4825371
June,21,19514.88,1828.24,17,8,14,881.4,38.78807246,151.3776398,321.4463602
January,22,10183.015,1074.584583,17,8,16,1672.43,25.95127289,14.62273924,295.2476463
February,22,10183.015,1074.584583,17,8,16,1672.43,32.38559762,92.36195002,267.5084355
March,22,10183.015,1074.584583,17,16,11,1672.43,23.73134791,91.88397194,267.9864136
April,22,10183.015,1074.584583,17,16,11,1672.43,27.61417778,46.81041575,283.0599697
May,22,10183.015,1074.584583,17,18,11,1672.43,32.29348991,65.83126164,294.0391239
June,22,10183.015,1074.584583,17,16,11,1672.43,25.10540255,73.89986104,285.9705245
January,23,106733.13,8873.4275,1,16,8,76.23,29.81589563,388.3603537,768.9823963
February,23,106733.13,8873.4275,1,16,13,76.23,28.10808629,807.2067768,370.1359732
March,23,106733.13,8873.4275,1,16,10,76.23,42.0704586,172.0328285,955.3099215
April,23,106733.13,8873.4275,1,16,11,76.23,25.84254794,644.2873937,513.0553563
May,23,106733.13,8873.4275,1,11,12,76.23,28.82055378,345.6091354,791.7336146
June,23,106733.13,8873.4275,1,11,12,76.23,31.7276036,0,913.0316547
January,24,12600.445,782.0370833,10,10,12,569.8,33.07588357,0,284.2982045
February,24,12600.445,782.0370833,10,11,12,569.8,38.15374126,103.1586179,238.9847429
March,24,12600.445,782.0370833,10,15,0,569.8,23.17983274,32.02630794,310.1170529
April,24,12600.445,782.0370833,10,11,12,569.8,28.81940706,31.14919791,300.9941629
May,24,12600.445,782.0370833,10,7,0,569.8,37.24021434,41.0826367,301.0607241
June,24,12600.445,782.0370833,10,13,12,569.8,36.52748004,48.00806666,294.1352941
January,25,57983.12,4720.926667,31,18,8,3532.83,32.32176946,265.7062119,295.9538413
February,25,57983.12,4720.926667,31,18,8,3532.83,37.87364187,193.8733754,327.7866778
March,25,57983.12,4720.926667,31,18,7,3532.83,37.81024309,534.3581784,27.30187488
April,25,57983.12,4720.926667,31,19,8,3532.83,32.56739684,197.6404955,324.0195577
May,25,57983.12,4720.926667,31,18,0,3532.83,37.28428974,205.2501523,356.409901
June,25,57983.12,4720.926667,31,16,8,3532.83,35.2573783,626.869242,
January,26,20787.69,1999.3075,14,18,8,614.6,23.72318578,10000,253.3256224
February,26,20787.69,1999.3075,14,18,8,614.6,34.23585268,82.62718037,345.081577
March,26,20787.69,1999.3075,14,52,0,614.6,22.80214523,110.1720956,337.5366617
April,26,20787.69,1999.3075,14,51,18,614.6,37.06719824,89.87484896,337.8339084
May,26,20787.69,1999.3075,14,48,19,614.6,29.33902944,155.460944,292.2478133
June,26,20787.69,1999.3075,14,51,19,614.6,30.44242522,28.63736094,369.0713964
January,27,34290.12,2697.51,25,51,19,2686.81,39.28029559,248.0699573,106.5690601
February,27,34290.12,2697.51,25,51,17,2686.81,27.03684229,10000,196.5585016
March,27,34290.12,2697.51,25,51,19,2686.81,29.01885043,60.58953609,274.0494813
April,27,34290.12,2697.51,25,53,19,2686.81,36.16398913,99.47477404,255.1642434
May,27,34290.12,2697.51,25,30,12,2686.81,33.84186604,330.0718422,44.56717524
June,27,34290.12,2697.51,25,30,14,2686.81,24.22255486,108.9469111,225.6921063
January,28,43070.24,3622.186667,18,30,12,1233.1,27.98070066,397.0022489,224.6403329
February,28,43070.24,3622.186667,18,30,12,1233.1,28.07129186,443.9186742,177.7239077
March,28,43070.24,3622.186667,18,30,12,1233.1,28.36116615,50.50914885,521.133433
April,28,43070.24,3622.186667,18,30,12,1233.1,24.33177176,74.92037487,506.722207
May,28,43070.24,3622.186667,18,30,15,1233.1,26.44753733,178.0953584,423.5472234
June,28,43070.24,3622.186667,18,26,11,1233.1,39.06984399,41.33398006,530.3086018
January,29,28572.39,2210.0325,15,48,18,400.07,24.42225068,42.85050715,348.5498224
February,29,28572.39,2210.0325,15,48,18,400.07,36.43787042,83.04420901,358.3561205
March,29,28572.39,2210.0325,15,48,23,400.07,29.3235169,53.48420329,347.9161262
April,29,28572.39,2210.0325,15,43,20,400.07,34.71456104,25.9934623,375.4068672
May,29,28572.39,2210.0325,15,51,20,400.07,37.50455238,61.62810913,339.7722204
June,29,28572.39,2210.0325,15,48,24,400.07,35.6939494,129.2648347,312.1354949
January,30,39641.54,3007.461667,25,52,21,2258.73,34.12570493,246.9150252,151.4486141
February,30,39641.54,3007.461667,25,48,21,2258.73,33.41459804,236.0775819,162.2860574
March,30,39641.54,3007.461667,25,10,8,2258.73,27.5728629,198.0421234,190.3215159
April,30,39641.54,3007.461667,25,5,7,2258.73,32.4134468,254.0211199,164.3425194
May,30,39641.54,3007.461667,25,2,6,2258.73,25.98322951,254.2603725,154.1032668
June,30,39641.54,3007.461667,25,5,7,2258.73,27.91283759,122.148451,296.2151883
January,31,20186.02,1684.168333,1,5,6,413.32,35.94290749,74.21434055,334.6679091
February,31,20186.02,1684.168333,1,5,6,413.32,32.93734626,42.61914207,336.2631075
March,31,20186.02,1684.168333,1,9,4,413.32,31.86173627,26.29047662,362.591773
April,31,20186.02,1684.168333,1,7,6,413.32,22.7435821,104.7238335,294.1584161
May,31,20186.02,1684.168333,1,28,19,413.32,39.06398122,138.8031575,270.0790921
June,31,586359,1684.168333,1,25,18,413.32,28.83634916,68.95672494,319.9255247
January,32,18627.64,1387.303333,19,25,16,1793.54,38.97966115,48.43998335,275.1508622
February,32,18627.64,1387.303333,19,25,18,1793.54,35.03034908,53.83325981,299.7575858
March,32,18627.64,1387.303333,19,20,19,1793.54,27.19720883,105.1491496,258.441696
April,32,18627.64,1387.303333,19,25,19,1793.54,35.91940493,75.7913889,277.7994567
May,32,18627.64,1387.303333,19,25,20,1793.54,25.5852052,24.34618841,289.2446572
June,32,18627.64,1387.303333,19,25,19,1793.54,35.706437,109.5920323,243.9988133
January,33,12986.745,959.22875,10,47,19,1489.49,26.32926887,16.28671936,312.9168554
February,33,12986.745,959.22875,10,53,21,1489.49,24.61461029,44.19300345,315.0105713
March,33,12986.745,959.22875,10,48,21,1489.49,26.15307798,47.26668051,311.9368943
April,33,12986.745,959.22875,10,48,21,1489.49,31.78179827,76.35527781,272.848297
May,33,12986.745,959.22875,10,48,21,1489.49,37.66150545,72.3465135,296.8570613
June,33,12986.745,959.22875,10,46,21,1489.49,26.5074745,111.2576305,257.9459443
January,34,58317,4664.75,9,49,21,98.97,40.41111483,109.4889496,467.088851
February,34,58317,4664.75,9,48,24,98.97,27.80691779,83.30040819,483.2773924
March,34,58317,4664.75,9,22,14,98.97,25.8321089,57.95122336,498.6265772
April,34,58317,4664.75,9,24,14,98.97,29.76610686,158.648276,407.9295246
May,34,58317,4664.75,9,22,14,98.97,34.19230439,180.8305734,415.7472272
June,34,58317,4664.75,9,22,12,98.97,24.6655252,98.88050778,467.6972928
January,35,42171.98,4664.75,10,22,14,556.91,33.47895197,56.71137669,466.9588769
February,35,42171.98,3764.331667,10,22,14,556.91,26.98611476,136.9830014,426.6872521
March,35,42171.98,3764.331667,10,23,14,556.91,40.15058277,97.56675631,446.1034972
April,35,42171.98,3764.331667,10,22,14,556.91,34.42998587,255.7658284,287.9044251
May,35,42171.98,3764.331667,10,52,10,556.91,31.74521339,150.313187,373.3570666
June,35,42171.98,3764.331667,10,47,10,556.91,29.46412058,82.51039863,451.1598549
January,36,71681.4,5799.45,15,52,6,1293.02,40.33902429,301.2920819,514.7294041
February,36,71681.4,5799.45,15,52,7,1293.02,29.68295387,137.3311426,638.6903434
March,36,71681.4,5799.45,15,52,12,1293.02,29.37139648,253.3197219,562.7017641
April,36,71681.4,5799.45,15,52,12,1293.02,33.04149896,120.890142,645.131344
May,36,71681.4,5799.45,15,52,12,1293.02,40.79113731,10000,358.0954
June,36,71681.4,5799.45,15,52,9,1293.02,34.98356207,414.8965494,391.1249366
January,37,29469.98,2227.831667,24,11,8,3421.66,24.63965803,59.82559612,363.272112
February,37,29469.98,2227.831667,24,13,8,3421.66,30.26841053,125.4917683,287.6059398
March,37,29469.98,2227.831667,24,15,8,3421.66,31.21226879,32.70665182,360.3910563
April,37,29469.98,2227.831667,24,11,8,3421.66,33.29865431,27.25079463,375.8469135
May,37,29469.98,2227.831667,24,10,8,3421.66,38.17731096,71.26438577,361.8333223
June,37,29469.98,2227.831667,24,8,8,3421.66,30.98699814,117.3103161,325.787392
January,38,72559.36,6284.613333,17,11,8,1173.7,23.28213511,565.7433853,116.8787774
February,38,72559.36,6284.613333,17,11,8,1173.7,38.35585257,205.72099,456.9011727
March,38,72559.36,6284.613333,17,25,12,1173.7,25.56009927,370.4699742,322.1521885
April,38,72559.36,6284.613333,17,25,9,1173.7,36.63682651,298.6987125,393.9234502
May,38,72559.36,6284.613333,17,28,10,1173.7,32.83357784,117.3102589,535.3119038
June,38,72559.36,6284.613333,17,25,14,1173.7,38.08037974,172.9621775,489.6599852
January,39,15566.02,1423.168333,32,25,12,1693.95,37.40993372,65.98658552,323.2597282
February,39,15566.02,1423.168333,32,25,11,1693.95,24.25102818,169.6209801,219.6253336
March,39,15566.02,1423.168333,32,25,13,1693.95,38.78765215,46.5766728,302.6696409
April,39,15566.02,1423.168333,32,25,12,1693.95,25.0380524,94.29931655,294.9469972
May,39,15566.02,1423.168333,32,61,13,1693.95,23.09179312,188.8661137,200.3802
June,39,15566.02,1423.168333,32,61,16,1693.95,31.33422002,131.6125215,257.6337922
January,40,66567.32,5800.276667,5,61,15,233.79,34.45627234,251.6474222,518.1908835
February,40,66567.32,5800.276667,5,61,16,233.79,32.34982187,542.0422096,217.7960961
March,40,66567.32,5800.276667,5,61,16,233.79,33.48684838,770.6964131,
April,40,66567.32,5800.276667,5,61,16,233.79,33.29385607,526.9189014,222.9194043
May,40,66567.32,5800.276667,5,61,14,233.79,26.54909964,149.525305,580.3130008
June,40,66567.32,5800.276667,5,61,13,233.79,28.10570447,66.77787002,663.0604358
January,41,12909.895,853.8245833,13,5,6,602.5,31.35686818,20.44668059,334.9357777
February,41,12909.895,853.8245833,13,5,6,602.5,38.33948756,67.16171995,308.2207384
March,41,12909.895,853.8245833,13,4,3,602.5,32.21809912,114.1999515,261.1825069
April,41,12909.895,853.8245833,13,5,6,602.5,29.42723189,110.9742218,264.4082365
May,41,12909.895,853.8245833,13,5,7,602.5,32.4690579,64.52797054,310.8544878
June,41,12909.895,853.8245833,13,5,7,602.5,35.63389379,31.01282665,334.3696317
January,42,30788.44,2623.703333,31,5,6,3470.08,24.61673534,232.1388168,185.6984956
February,42,30788.44,2623.703333,31,5,6,3470.08,39.74169977,53.64864334,344.1886691
March,42,30788.44,2623.703333,31,31,21,3470.08,39.15505442,102.343498,335.4938145
April,42,30788.44,2623.703333,31,31,21,3470.08,27.68144423,97.31358834,340.5237241
May,42,30788.44,2623.703333,31,31,21,3470.08,33.46870759,55.92865463,331.9086578
June,42,30788.44,2623.703333,31,31,21,3470.08,35.45708113,72.98412459,334.8531878
January,43,20574.47,1740.539167,14,31,21,749.95,25.82415682,145.900478,268.8047724
February,43,20574.47,1740.539167,14,31,21,749.95,37.26323375,0,309.7407407
March,43,20574.47,1740.539167,14,26,21,749.95,27.20801259,127.2455258,267.4597245
April,43,20574.47,1740.539167,14,31,18,749.95,36.55953784,25.16140443,349.5438459
May,43,20574.47,1740.539167,14,30,14,749.95,29.03616365,139.9785623,254.7266881
June,43,20574.47,1740.539167,14,29,17,749.95,37.55229512,192.372069,222.3331814
January,44,148699.32,12432.61,5,30,20,949.38,41.68721335,296.1518279,822.1939947
February,44,148699.32,12432.61,5,30,15,949.38,28.51077465,237.9183809,880.4274417
March,44,148699.32,12432.61,5,30,18,949.38,41.47825034,10000,705.6144782
April,44,148699.32,12432.61,5,30,17,949.38,31.40151636,599.4618328,558.8839898
May,44,148699.32,12432.61,5,28,20,949.38,34.26155637,264.7984248,853.5473978
June,44,148699.32,12432.61,5,28,17,949.38,26.71579704,861.1156692,277.2301534
January,45,85554.03,7185.5025,3,18,17,1095.73,33.43437152,162.9955862,795.5546638
February,45,85554.03,7185.5025,3,18,20,1095.73,38.38982003,81.57260644,886.9776436
March,45,85554.03,7185.5025,3,16,20,1095.73,36.62486342,128.5248739,840.0253761
April,45,85554.03,7185.5025,3,18,23,1095.73,31.36024474,303.6646866,684.8855634
May,45,85554.03,7185.5025,3,18,20,1095.73,41.66180247,70.82263262,887.7276174
June,45,85554.03,7185.5025,3,18,20,1095.73,25.02632602,465.4277737,523.1224763
January,46,55829.79,4369.4825,18,18,20,3422.49,27.07054347,348.7994885,63.24697621
February,46,18334118,4369.4825,18,22,0,3422.49,36.72993924,124.5414704,257.5049943
March,46,55829.79,4369.4825,18,4,10,3422.49,27.97880174,132.0062495,250.0402152
April,46,55829.79,4369.4825,18,4,8,3422.49,27.11330402,172.22331,209.8231548
May,46,55829.79,4369.4825,18,4,8,3422.49,38.02568458,182.04655,199.9999147
June,46,55829.79,4369.4825,18,2,10,3422.49,23.34669686,106.9001127,255.146352
January,47,19717385,1057.435833,33,4,10,2797.17,25.31433886,60.55078556,246.3243569
February,47,14165.23,1057.435833,33,2,10,2797.17,33.13167712,10000,252.016603
March,47,14165.23,1057.435833,33,4,10,2797.17,33.07759976,124.0568381,212.8183044
April,47,14165.23,1057.435833,33,4,10,2797.17,31.87826486,95.67488196,241.2002605
May,47,14165.23,1057.435833,33,7,8,2797.17,27.64251073,105.7567546,221.1183879
June,47,14165.23,1057.435833,33,8,6,2797.17,30.73296021,53.85988289,283.0152596
January,48,87215.68,7489.973333,8,8,10,680.77,35.12551976,10000,333.2919819
February,48,87215.68,7489.973333,8,4,8,680.77,26.78610224,106.9503614,760.3649552
March,48,87215.68,7489.973333,8,8,8,680.77,31.30850875,90.98095529,776.3343613
April,48,87215.68,7489.973333,8,5,6,680.77,26.44728156,264.2066739,653.1086427
May,48,87215.68,7489.973333,8,8,10,680.77,33.9600344,799.3743611,117.9409555
June,48,87215.68,7489.973333,8,8,8,680.77,28.92882975,173.0943692,694.2209474
January,49,81842.28,6810.19,25,53,21,3053.16,39.43016631,162.5887242,194.364478
February,49,81842.28,6810.19,25,50,18,3053.16,26.05088484,152.7337662,204.2194359
March,49,81842.28,6810.19,25,53,24,3053.16,24.07007993,192.4731148,174.4800873
April,49,81842.28,6810.19,25,53,21,3053.16,27.92660965,332.9131245,34.04007764
May,49,81842.28,6810.19,25,53,21,3053.16,31.3174328,447.8485782,
June,49,81842.28,6810.19,25,53,21,3053.16,28.64312875,165.0734558,181.8797463
January,50,95956.5,8279.375,11,58,24,1079.73,33.77692753,0,884.9056903
February,50,95956.5,8279.375,11,53,21,1079.73,35.74006715,265.3115234,717.1043479
March,50,95956.5,8279.375,11,14,21,1079.73,42.13760293,377.3584081,635.0574631
April,50,95956.5,8279.375,11,14,22,1079.73,28.06838239,623.4087219,389.0071493
May,50,95956.5,8279.375,11,18,22,1079.73,37.20726208,517.8021721,474.6136991
June,50,95956.5,8279.375,11,14,18,1079.73,24.97857316,761.0455291,251.3703422
January,51,49967.01,4091.9175,31,14,21,2253.95,28.87573769,66.93199535,426.256443
February,51,49967.01,4091.9175,31,16,19,2253.95,23.11502218,132.2857313,390.9027071
March,51,49967.01,4091.9175,31,14,19,2253.95,38.57921381,80.27846003,422.9099783
April,51,49967.01,4091.9175,31,15,19,2253.95,22.84117831,373.1685164,160.019922
May,51,49967.01,4091.9175,31,16,1338,2253.95,33.91270307,192.9207713,350.267667
June,51,49967.01,4091.9175,31,17,20,2253.95,37.33034027,0,436.3089192
January,52,39887.22,3224.935,16,12,19,3119.6,30.18805936,198.9967508,270.025904
February,52,39887.22,3224.935,16,17,20,3119.6,26.11222201,153.2707254,295.7519293
March,52,39887.22,3224.935,16,17,20,3119.6,38.23896598,319.4923738,159.5302809
April,52,39887.22,3224.935,16,13,23,3119.6,37.08960444,0,176.9314779
May,52,39887.22,3224.935,16,12,17,3119.6,36.97060762,96.09548178,342.927173
June,52,39887.22,3224.935,16,17,23,3119.6,31.24846249,123.9598696,315.0627851
January,53,14129.76,1012.48,21,7,15,4071.62,36.1372924,124.4459203,185.0894247
February,53,14129.76,1012.48,21,7,0,4071.62,28.13414922,31.28654276,268.2488022
March,53,14129.76,1012.48,21,7,12,4071.62,39.16106265,112.3614498,197.1738952
April,53,14129.76,1012.48,21,7,0,4071.62,33.11102175,24.67934851,244.8559965
May,53,2592822,1012.48,21,7,15,4071.62,26.42915211,0,179.1095355
June,53,14129.76,1012.48,21,7,15,4071.62,29.81521347,47.31078336,252.2245616
January,54,123732.32,10416.02667,11,7,15,1154.46,43.36806475,0,940.3944828
February,54,123732.32,10416.02667,11,7,14,1154.46,31.13019514,10000,1157.857522
March,54,123732.32,10416.02667,11,22,14,1154.46,32.68645906,874.7145585,446.8881082
April,54,123732.32,10416.02667,11,22,14,1154.46,38.99063467,532.1607307,789.4419359
