Month,ID,Delay-from-due-date,Num-of-Delayed-Payment,Outstanding-Debt,Credit-Utilization-Ratio,Annual-Income,Debt-to-Income Ratio,Amount-invested-monthly,Monthly-Balance,Default
June,4,8,6,632.46,27.44542179,30689.89,2%,84.95284817,895.4945832,1
January,5,0,6,943.86,39.79776423,35547.71,3%,276.7253943,433.604773,1
February,5,5,3,943.86,27.02036025,35547.71,3%,74.44364105,409.9518118,0
March,5,3,9,943.86,23.46230304,35547.71,3%,173.138651,411.4271229,1
April,5,7,6,943.86,28.92495378,35547.71,3%,96.78548509,262.4995943,1
May,5,5,6,943.86,41.77618715,35547.71,3%,62.72327834,359.3749155,1
June,5,5,6,943.86,29.21755633,35547.71,3%,37.64363789,419.8807835,1
January,6,5,0,548.2,39.96268501,73928.46,1%,98.67440994,443.5499568,0
February,6,4,9,548.2,42.7698644,73928.46,1%,172.9392145,379.2163811,1
March,6,5,12,548.2,40.71218653,73928.46,1%,150.0597343,288.6055223,1
April,6,9,12,548.2,30.20165771,73928.46,1%,618.2023913,460.8872756,1
May,6,5,12,548.2,26.33331043,73928.46,1%,177.9518357,392.1922657,1
June,6,1,15,548.2,35.27543652,73928.46,1%,235.790325,438.5454316,1
January,7,9,17,352.16,32.200509,131313.4,0%,378.1712535,482.6076383,1
February,7,5,15,352.16,31.98371001,131313.4,0%,698.8732707,497.6872788,1
March,7,10,15,352.16,31.8031345,131313.4,0%,188.0643211,394.3189339,1
April,7,1,15,352.16,42.6457849,131313.4,0%,337.4349563,364.0000157,1
May,7,12,10,352.16,40.90251715,131313.4,0%,263.3789089,740.1960901,1
June,7,8,7,352.16,41.98016961,131313.4,0%,86.56638801,705.9312855,1
January,8,8,7,1704.18,24.44806275,34081.38,5%,162.4410092,698.8107657,1
February,8,8,7,1704.18,35.17116002,34081.38,5%,38.43698276,270.6681087,1
March,8,11,7,1704.18,35.11155247,34081.38,5%,199.7207655,690.9186643,1
April,8,7,7,1704.18,29.76215931,34081.38,5%,220.5521919,633.080175,1
May,8,8,4,1704.18,30.20621422,34081.38,5%,,510.3611005,0
June,8,8,7,1704.18,31.17087232,34081.38,5%,,796.2349097,1
January,9,0,3,1377.74,33.66455429,114838.41,1%,215.1935159,858.4624744,0
February,9,-1,2,1377.74,27.62632549,114838.41,1%,212.2356022,547.7604572,0
March,9,0,3,1377.74,35.1415673,114838.41,1%,470.3857957,1038.569407,0
April,9,0,2,1377.74,30.45903184,114838.41,1%,225.0820495,899.1987716,0
May,9,0,4,1377.74,29.81918663,114838.41,1%,649.8093642,963.254819,0
June,9,0,4,1377.74,26.11421387,114838.41,1%,546.3805705,1140.06734,0
January,10,0,2,421.43,29.51935256,31370.8,1%,154.3527811,326.2418302,0
February,10,0,2,421.43,28.22048096,31370.8,1%,298.7444693,396.1113462,0
March,10,30,11,421.43,31.04641791,31370.8,1%,140.820696,298.1921581,1
April,10,30,14,421.43,30.1680304,31370.8,1%,233.6055264,392.1961846,1
May,10,31,14,421.43,25.18923173,31370.8,1%,184.7005716,260.9124018,1
June,10,34,14,421.43,25.50246855,31370.8,1%,137.7174249,260.0809754,1
January,11,27,14,1328.93,37.08907565,33751.27,4%,117.3066971,397.2283547,1
February,11,30,14,1328.93,30.90808063,33751.27,4%,70.13107792,410.6743661,1
March,11,30,11,1328.93,38.03072168,33751.27,4%,270.1825822,395.1733867,1
April,11,30,14,1328.93,23.40441278,33751.27,4%,25.19256191,411.3068036,1
May,11,13,11,1328.93,29.07375818,33751.27,4%,243.3296848,802.3004421,1
June,11,14,8,1328.93,32.78263673,33751.27,4%,72.86008181,785.2583559,1
January,12,11,11,950.36,28.21061721,88640.24,1%,98.93176402,547.1081624,1
February,12,11,14,950.36,41.03616828,88640.24,1%,157.1747883,772.4119086,1
March,12,11,11,950.36,34.67019438,88640.24,1%,298.1889115,367.6845939,1
April,12,13,14,950.36,31.82853557,88640.24,1%,,491.1133876,1
May,12,11,0,950.36,34.70283693,88640.24,1%,279.6186221,792.0256603,0
June,12,11,11,950.36,38.32363895,88640.24,1%,686.1262166,742.9221908,1
January,13,4,0,179.22,25.64924607,54392.16,0%,243.7354374,341.5544232,0
February,13,2,0,179.22,29.40877528,54392.16,0%,142.7518641,227.1627349,0
March,13,-2,0,179.22,31.25892847,54392.16,0%,33.34956859,375.0865083,0
April,13,1,0,179.22,27.19258741,54392.16,0%,494.8422277,292.3016778,0
May,13,1,0,179.22,34.59532446,54392.16,0%,233.1184454,341.2066326,0
June,13,1,0,179.22,23.1950254,54392.16,0%,635.1465605,378.1897794,0
January,14,-1,2,2602.69,24.52316385,8701.545,30%,13.06620992,337.5123038,0
February,14,-2,2,2602.69,39.9025176,8701.545,30%,34.71516394,273.2623771,0
March,14,16,20,2602.69,36.47591386,8701.545,30%,45.65097554,362.5457119,1
April,14,16,20,2602.69,32.09749228,8701.545,30%,20.39018388,399.7213311,1
May,14,16,20,2602.69,37.16937449,8701.545,30%,50.4869522,229.6698268,1
June,14,17,22,2602.69,28.57003141,8701.545,30%,52.93161341,444.6598471,1
January,15,16,20,758.44,37.41820917,25546.26,3%,53.10459911,276.5227243,1
February,15,16,20,758.44,29.71137554,25546.26,3%,300.3232317,406.9923272,1
March,15,16,20,758.44,25.41361674,25546.26,3%,91.21658676,444.4252395,1
April,15,16,17,758.44,35.94627822,25546.26,3%,83.71475049,443.8827971,1
May,15,-1,0,758.44,28.27742001,25546.26,3%,311.9993475,732.5635317,0
June,15,4,2,758.44,34.58659949,25546.26,3%,61.73074847,674.3205074,0
January,16,4,0,818.22,25.36959679,31993.78,3%,81.99883506,543.3063842,0
February,16,4,2,818.22,37.95856941,31993.78,3%,10000,86.63611983,0
March,16,4,2,818.22,27.38010905,31993.78,3%,264.2570885,561.8766736,0
April,16,4,0,818.22,34.15826212,31993.78,3%,152.4523259,195.3690791,0
May,16,4,2,818.22,30.7880388,31993.78,3%,43.47040867,667.4204738,0
June,16,-1,0,818.22,34.28096872,31993.78,3%,112.7238874,733.0533444,0
January,17,10,8,1296.64,37.11561494,92047.08,1%,154.6341231,378.5404802,1
February,17,10,10,1296.64,39.46775837,92047.08,1%,710.4953807,459.5240535,1
March,17,15,11,1296.64,27.79278836,92047.08,1%,175.4456227,558.926349,1
April,17,10,7,1296.64,42.94468168,92047.08,1%,120.9075538,147.4336899,1
May,17,10,8,1296.64,34.35765024,92047.08,1%,78.71934549,409.1574722,1
June,17,10,8,1296.64,28.77693774,92047.08,1%,266.5850272,7.129357074,1
January,18,10,8,1283.37,28.94089259,32284.62,4%,254.8616151,464.1635141,1
February,18,10,8,1283.37,27.86131019,32284.62,4%,103.2103074,147.1580197,1
March,18,23,9,1283.37,27.88169704,32284.62,4%,35.79356841,272.2984679,1
April,18,23,9,1283.37,38.39455822,32284.62,4%,280.2182538,250.6495139,1
May,18,23,9,1283.37,33.23978443,32284.62,4%,154.0197492,239.7137023,1
June,18,22,7,1283.37,26.87446741,32284.62,4%,272.2735499,284.974494,1
January,19,22,9,107.41,25.71557884,97791.42,0%,451.2465194,254.8777256,1
February,19,23,6,107.41,28.71120252,97791.42,0%,322.7203197,242.4330644,1
March,19,21,9,107.41,34.92287233,97791.42,0%,176.2642258,264.8928715,1
April,19,23,9,107.41,26.51363149,97791.42,0%,499.24502,264.7720511,1
May,19,16,14,107.41,38.64911431,97791.42,0%,77.60922834,337.1522635,1
June,19,16,13,107.41,44.67688859,97791.42,0%,108.3039386,129.933631,1
January,20,16,10,2430.21,29.93418573,19300.34,13%,79.17641583,319.0402759,1
February,20,16,10,2430.21,36.64120358,19300.34,13%,55.29821299,306.5421121,1
March,20,16,13,2430.21,37.62486247,19300.34,13%,140.8185959,118.2575152,1
April,20,16,10,2430.21,28.87038692,19300.34,13%,61.42802987,338.5261142,1
May,20,16,14,2430.21,28.05884596,19300.34,13%,173.0425508,299.9564689,1
June,20,15,13,2430.21,25.84779062,19300.34,13%,83.44744883,230.4410013,1
January,21,8,14,881.4,26.08454275,19514.88,5%,50.14372714,447.0747001,1
February,21,12,14,881.4,25.66585678,19514.88,5%,10000,157.8698035,1
March,21,8,14,881.4,33.66946005,19514.88,5%,43.31582446,274.8164466,1
April,21,8,14,881.4,34.50370724,19514.88,5%,45.38882031,376.6212092,1
May,21,8,14,881.4,41.1763842,19514.88,5%,168.3414629,455.6031264,1
June,21,8,14,881.4,38.78807246,19514.88,5%,151.3776398,396.3496477,1
January,22,8,16,1672.43,25.95127289,10183.015,16%,14.62273924,404.5162989,1
February,22,8,16,1672.43,32.38559762,10183.015,16%,92.36195002,421.4853319,1
March,22,16,11,1672.43,23.73134791,10183.015,16%,91.88397194,854.5248769,1
April,22,16,11,1672.43,27.61417778,10183.015,16%,46.81041575,328.6636193,1
May,22,18,11,1672.43,32.29348991,10183.015,16%,65.83126164,823.7133773,1
June,22,16,11,1672.43,25.10540255,10183.015,16%,73.89986104,878.2514462,1
January,23,16,8,76.23,29.81589563,106733.13,0%,388.3603537,920.4396545,1
February,23,16,13,76.23,28.10808629,106733.13,0%,807.2067768,782.5739728,1
March,23,16,10,76.23,42.0704586,106733.13,0%,172.0328285,939.8734298,1
April,23,16,11,76.23,25.84254794,106733.13,0%,644.2873937,761.0743967,1
May,23,11,12,76.23,28.82055378,106733.13,0%,345.6091354,211.9393246,1
June,23,11,12,76.23,31.7276036,106733.13,0%,,353.5906322,1
January,24,10,12,569.8,33.07588357,12600.445,5%,0,391.0073712,1
February,24,11,12,569.8,38.15374126,12600.445,5%,103.1586179,196.5826859,1
March,24,15,0,569.8,23.17983274,12600.445,5%,32.02630794,292.7811904,0
April,24,11,12,569.8,28.81940706,12600.445,5%,31.14919791,204.5273897,1
May,24,7,0,569.8,37.24021434,12600.445,5%,41.0826367,85.90209493,0
June,24,13,12,569.8,36.52748004,12600.445,5%,48.00806666,117.0291074,1
January,25,18,8,3532.83,32.32176946,57983.12,6%,265.7062119,646.6819806,1
February,25,18,8,3532.83,37.87364187,57983.12,6%,193.8733754,755.2081803,1
March,25,18,7,3532.83,37.81024309,57983.12,6%,534.3581784,881.6642742,1
April,25,19,8,3532.83,32.56739684,57983.12,6%,197.6404955,588.68348,1
May,25,18,0,3532.83,37.28428974,57983.12,6%,205.2501523,970.3192717,0
June,25,16,8,3532.83,35.2573783,57983.12,6%,626.869242,939.6245614,1
January,26,18,8,614.6,23.72318578,20787.69,3%,10000,334.3876987,1
February,26,18,8,614.6,34.23585268,20787.69,3%,82.62718037,947.6102964,1
March,26,52,0,614.6,22.80214523,20787.69,3%,110.1720956,312.4876886,1
April,26,51,18,614.6,37.06719824,20787.69,3%,89.87484896,306.3658914,1
May,26,48,19,614.6,29.33902944,20787.69,3%,155.460944,230.8455085,1
June,26,51,19,614.6,30.44242522,20787.69,3%,28.63736094,300.2360745,1
January,27,51,19,2686.81,39.28029559,34290.12,8%,248.0699573,218.6215536,1
February,27,51,17,2686.81,27.03684229,34290.12,8%,10000,288.2166556,1
March,27,51,19,2686.81,29.01885043,34290.12,8%,60.58953609,250.6886146,1
April,27,53,19,2686.81,36.16398913,34290.12,8%,99.47477404,263.4785537,1
May,27,30,12,2686.81,33.84186604,34290.12,8%,330.0718422,382.6802729,1
June,27,30,14,2686.81,24.22255486,34290.12,8%,108.9469111,381.8960652,1
January,28,30,12,1233.1,27.98070066,43070.24,3%,397.0022489,389.5081755,1
February,28,30,12,1233.1,28.07129186,43070.24,3%,443.9186742,387.4351797,1
March,28,30,12,1233.1,28.36116615,43070.24,3%,50.50914885,304.4825371,1
April,28,30,12,1233.1,24.33177176,43070.24,3%,74.92037487,321.4463602,1
May,28,30,15,1233.1,26.44753733,43070.24,3%,178.0953584,278.19284,1
June,28,26,11,1233.1,39.06984399,43070.24,3%,41.33398006,343.6824585,1
January,29,48,18,400.07,24.42225068,28572.39,1%,42.85050715,295.2476463,1
February,29,48,18,400.07,36.43787042,28572.39,1%,83.04420901,267.5084355,1
March,29,48,23,400.07,29.3235169,28572.39,1%,53.48420329,267.9864136,1
April,29,43,20,400.07,34.71456104,28572.39,1%,25.9934623,283.0599697,1
May,29,51,20,400.07,37.50455238,28572.39,1%,61.62810913,294.0391239,1
June,29,48,24,400.07,35.6939494,28572.39,1%,129.2648347,285.9705245,1
January,30,52,21,2258.73,34.12570493,39641.54,6%,246.9150252,298.0066579,1
February,30,48,21,2258.73,33.41459804,39641.54,6%,236.0775819,288.7476381,1
March,30,10,8,2258.73,27.5728629,39641.54,6%,198.0421234,768.9823963,1
April,30,5,7,2258.73,32.4134468,39641.54,6%,254.0211199,370.1359732,1
May,30,2,6,2258.73,25.98322951,39641.54,6%,254.2603725,955.3099215,1
June,30,5,7,2258.73,27.91283759,39641.54,6%,122.148451,513.0553563,1
January,31,5,6,413.32,35.94290749,20186.02,2%,74.21434055,791.7336146,1
February,31,5,6,413.32,32.93734626,20186.02,2%,42.61914207,913.0316547,1
March,31,9,4,413.32,31.86173627,20186.02,2%,26.29047662,936.3073774,0
April,31,7,6,413.32,22.7435821,20186.02,2%,104.7238335,792.5790252,1
May,31,28,19,413.32,39.06398122,20186.02,2%,138.8031575,284.2982045,1
June,31,25,18,413.32,28.83634916,586359,0%,68.95672494,238.9847429,1
January,32,25,16,1793.54,38.97966115,18627.64,10%,48.43998335,310.1170529,1
February,32,25,18,1793.54,35.03034908,18627.64,10%,53.83325981,300.9941629,1
March,32,20,19,1793.54,27.19720883,18627.64,10%,105.1491496,301.0607241,1
April,32,25,19,1793.54,35.91940493,18627.64,10%,75.7913889,294.1352941,1
May,32,25,20,1793.54,25.5852052,18627.64,10%,24.34618841,275.2344649,1
June,32,25,19,1793.54,35.706437,18627.64,10%,109.5920323,275.7697808,1
January,33,47,19,1489.49,26.32926887,12986.745,11%,16.28671936,295.9538413,1
February,33,53,21,1489.49,24.61461029,12986.745,11%,44.19300345,327.7866778,1
March,33,48,21,1489.49,26.15307798,12986.745,11%,47.26668051,27.30187488,1
April,33,48,21,1489.49,31.78179827,12986.745,11%,76.35527781,324.0195577,1
May,33,48,21,1489.49,37.66150545,12986.745,11%,72.3465135,356.409901,1
June,33,46,21,1489.49,26.5074745,12986.745,11%,111.2576305,0,1
January,34,49,21,98.97,40.41111483,58317,0%,109.4889496,316.9280132,1
February,34,48,24,98.97,27.80691779,58317,0%,83.30040819,362.5233313,1
March,34,22,14,98.97,25.8321089,58317,0%,57.95122336,253.3256224,1
April,34,24,14,98.97,29.76610686,58317,0%,158.648276,345.081577,1
May,34,22,14,98.97,34.19230439,58317,0%,180.8305734,337.5366617,1
June,34,22,12,98.97,24.6655252,58317,0%,98.88050778,337.8339084,1
January,35,22,14,556.91,33.47895197,42171.98,1%,56.71137669,292.2478133,1
February,35,22,14,556.91,26.98611476,42171.98,1%,136.9830014,369.0713964,1
March,35,23,14,556.91,40.15058277,42171.98,1%,97.56675631,189.4935835,1
April,35,22,14,556.91,34.42998587,42171.98,1%,255.7658284,375.9632261,1
May,35,52,10,556.91,31.74521339,42171.98,1%,150.313187,106.5690601,1
June,35,47,10,556.91,29.46412058,42171.98,1%,82.51039863,196.5585016,1
January,36,52,6,1293.02,40.33902429,71681.4,2%,301.2920819,274.0494813,1
February,36,52,7,1293.02,29.68295387,71681.4,2%,137.3311426,255.1642434,1
March,36,52,12,1293.02,29.37139648,71681.4,2%,253.3197219,44.56717524,1
April,36,52,12,1293.02,33.04149896,71681.4,2%,120.890142,225.6921063,1
May,36,52,12,1293.02,40.79113731,71681.4,2%,10000,150.5458134,1
June,36,52,9,1293.02,34.98356207,71681.4,2%,414.8965494,249.7218009,1
January,37,11,8,3421.66,24.63965803,29469.98,12%,59.82559612,224.6403329,1
February,37,13,8,3421.66,30.26841053,29469.98,12%,125.4917683,177.7239077,1
March,37,15,8,3421.66,31.21226879,29469.98,12%,32.70665182,521.133433,1
April,37,11,8,3421.66,33.29865431,29469.98,12%,27.25079463,506.722207,1
May,37,10,8,3421.66,38.17731096,29469.98,12%,71.26438577,423.5472234,1
June,37,8,8,3421.66,30.98699814,29469.98,12%,117.3103161,530.3086018,1
January,38,11,8,1173.7,23.28213511,72559.36,2%,565.7433853,493.019135,1
February,38,11,8,1173.7,38.35585257,72559.36,2%,205.72099,218.125773,1
March,38,25,12,1173.7,25.56009927,72559.36,2%,370.4699742,348.5498224,1
April,38,25,9,1173.7,36.63682651,72559.36,2%,298.6987125,358.3561205,1
May,38,28,10,1173.7,32.83357784,72559.36,2%,117.3102589,347.9161262,1
June,38,25,14,1173.7,38.08037974,72559.36,2%,172.9621775,375.4068672,1
January,39,25,12,1693.95,37.40993372,15566.02,11%,65.98658552,339.7722204,1
February,39,25,11,1693.95,24.25102818,15566.02,11%,169.6209801,312.1354949,1
March,39,25,13,1693.95,38.78765215,15566.02,11%,46.5766728,364.7925206,1
April,39,25,12,1693.95,25.0380524,15566.02,11%,94.29931655,339.5694705,1
May,39,61,13,1693.95,23.09179312,15566.02,11%,188.8661137,151.4486141,1
June,39,61,16,1693.95,31.33422002,15566.02,11%,131.6125215,162.2860574,1
January,40,61,15,233.79,34.45627234,66567.32,0%,251.6474222,190.3215159,1
February,40,61,16,233.79,32.34982187,66567.32,0%,542.0422096,164.3425194,1
March,40,61,16,233.79,33.48684838,66567.32,0%,770.6964131,154.1032668,1
April,40,61,16,233.79,33.29385607,66567.32,0%,526.9189014,296.2151883,1
May,40,61,14,233.79,26.54909964,66567.32,0%,149.525305,237.6910948,1
June,40,61,13,233.79,28.10570447,66567.32,0%,66.77787002,249.0958331,1
January,41,5,6,602.5,31.35686818,12909.895,5%,20.44668059,334.6679091,1
February,41,5,6,602.5,38.33948756,12909.895,5%,67.16171995,336.2631075,1
March,41,4,3,602.5,32.21809912,12909.895,5%,114.1999515,362.591773,0
April,41,5,6,602.5,29.42723189,12909.895,5%,110.9742218,294.1584161,1
May,41,5,7,602.5,32.4690579,12909.895,5%,64.52797054,270.0790921,1
June,41,5,7,602.5,35.63389379,12909.895,5%,31.01282665,319.9255247,1
January,42,5,6,3470.08,24.61673534,30788.44,11%,232.1388168,307.1168234,1
February,42,5,6,3470.08,39.74169977,30788.44,11%,53.64864334,265.3434532,1
March,42,31,21,3470.08,39.15505442,30788.44,11%,102.343498,275.1508622,1
April,42,31,21,3470.08,27.68144423,30788.44,11%,97.31358834,299.7575858,1
May,42,31,21,3470.08,33.46870759,30788.44,11%,55.92865463,258.441696,1
June,42,31,21,3470.08,35.45708113,30788.44,11%,72.98412459,277.7994567,1
January,43,31,21,749.95,25.82415682,20574.47,4%,145.900478,289.2446572,1
February,43,31,21,749.95,37.26323375,20574.47,4%,,243.9988133,1
March,43,26,21,749.95,27.20801259,20574.47,4%,127.2455258,259.362866,1
April,43,31,18,749.95,36.55953784,20574.47,4%,25.16140443,264.7866558,1
May,43,30,14,749.95,29.03616365,20574.47,4%,139.9785623,312.9168554,1
June,43,29,17,749.95,37.55229512,20574.47,4%,192.372069,315.0105713,1
January,44,30,20,949.38,41.68721335,148699.32,1%,296.1518279,311.9368943,1
February,44,30,15,949.38,28.51077465,148699.32,1%,237.9183809,272.848297,1
March,44,30,18,949.38,41.47825034,148699.32,1%,10000,296.8570613,1
April,44,30,17,949.38,31.40151636,148699.32,1%,599.4618328,257.9459443,1
May,44,28,20,949.38,34.26155637,148699.32,1%,264.7984248,322.4539844,1
June,44,28,17,949.38,26.71579704,148699.32,1%,861.1156692,277.374093,1
January,45,18,17,1095.73,33.43437152,85554.03,1%,162.9955862,467.088851,1
February,45,18,20,1095.73,38.38982003,85554.03,1%,81.57260644,483.2773924,1
March,45,16,20,1095.73,36.62486342,85554.03,1%,128.5248739,498.6265772,1
April,45,18,23,1095.73,31.36024474,85554.03,1%,303.6646866,407.9295246,1
May,45,18,20,1095.73,41.66180247,85554.03,1%,70.82263262,415.7472272,1
June,45,18,20,1095.73,25.02632602,85554.03,1%,465.4277737,467.6972928,1
January,46,18,20,3422.49,27.07054347,55829.79,6%,348.7994885,215.9920996,1
February,46,22,0,3422.49,36.72993924,18334118,0%,124.5414704,506.6218131,0
March,46,4,10,3422.49,27.97880174,55829.79,6%,132.0062495,466.9588769,1
April,46,4,8,3422.49,27.11330402,55829.79,6%,172.22331,426.6872521,1
May,46,4,8,3422.49,38.02568458,55829.79,6%,182.04655,446.1034972,1
June,46,2,10,3422.49,23.34669686,55829.79,6%,106.9001127,287.9044251,1
January,47,4,10,2797.17,25.31433886,19717385,0%,60.55078556,373.3570666,1
February,47,2,10,2797.17,33.13167712,14165.23,20%,10000,451.1598549,1
March,47,4,10,2797.17,33.07759976,14165.23,20%,124.0568381,431.0904514,1
April,47,4,10,2797.17,31.87826486,14165.23,20%,95.67488196,378.271011,1
May,47,7,8,2797.17,27.64251073,14165.23,20%,105.7567546,514.7294041,1
June,47,8,6,2797.17,30.73296021,14165.23,20%,53.85988289,638.6903434,1
January,48,8,10,680.77,35.12551976,87215.68,1%,10000,562.7017641,1
February,48,4,8,680.77,26.78610224,87215.68,1%,106.9503614,645.131344,1
March,48,8,8,680.77,31.30850875,87215.68,1%,90.98095529,358.0954,1
April,48,5,6,680.77,26.44728156,2709655,0%,264.2066739,391.1249366,1
May,48,8,10,680.77,33.9600344,87215.68,1%,799.3743611,642.6718243,1
June,48,8,8,680.77,28.92882975,87215.68,1%,173.0943692,510.20959,1
January,49,53,21,3053.16,39.43016631,81842.28,4%,162.5887242,363.272112,1
February,49,50,18,3053.16,26.05088484,81842.28,4%,152.7337662,287.6059398,1
March,49,53,24,3053.16,24.07007993,81842.28,4%,192.4731148,360.3910563,1
April,49,53,21,3053.16,27.92660965,81842.28,4%,332.9131245,375.8469135,1
May,49,53,21,3053.16,31.3174328,81842.28,4%,447.8485782,361.8333223,1
June,49,53,21,3053.16,28.64312875,81842.28,4%,165.0734558,325.787392,1
January,50,58,24,1079.73,33.77692753,95956.5,1%,,327.6442924,1
February,50,53,21,1079.73,35.74006715,95956.5,1%,265.3115234,379.0315766,1
March,50,14,21,1079.73,42.13760293,95956.5,1%,377.3584081,116.8787774,1
April,50,14,22,1079.73,28.06838239,95956.5,1%,623.4087219,456.9011727,1
May,50,18,22,1079.73,37.20726208,95956.5,1%,517.8021721,322.1521885,1
June,50,14,18,1079.73,24.97857316,95956.5,1%,761.0455291,393.9234502,1
January,51,14,21,2253.95,28.87573769,49967.01,5%,66.93199535,535.3119038,1
February,51,16,19,2253.95,23.11502218,49967.01,5%,132.2857313,489.6599852,1
March,51,14,19,2253.95,38.57921381,49967.01,5%,80.27846003,580.1252964,1
April,51,15,19,2253.95,22.84117831,49967.01,5%,373.1685164,556.9042896,1
May,51,16,1338,2253.95,33.91270307,49967.01,5%,192.9207713,323.2597282,1
June,51,17,20,2253.95,37.33034027,49967.01,5%,,219.6253336,1
January,52,12,19,3119.6,30.18805936,39887.22,8%,198.9967508,302.6696409,1
February,52,17,20,3119.6,26.11222201,39887.22,8%,153.2707254,294.9469972,1
March,52,17,20,3119.6,38.23896598,39887.22,8%,319.4923738,200.3802,1
April,52,13,23,3119.6,37.08960444,39887.22,8%,,257.6337922,1
May,52,12,17,3119.6,36.97060762,39887.22,8%,96.09548178,308.7618936,1
June,52,17,23,3119.6,31.24846249,39887.22,8%,123.9598696,333.9677312,1
January,53,7,15,4071.62,36.1372924,14129.76,29%,124.4459203,518.1908835,1
February,53,7,0,4071.62,28.13414922,14129.76,29%,31.28654276,217.7960961,0
March,53,7,12,4071.62,39.16106265,14129.76,29%,112.3614498,0,1
April,53,7,0,4071.62,33.11102175,14129.76,29%,24.67934851,222.9194043,0
May,53,7,15,4071.62,26.42915211,2592822,0%,,580.3130008,1
June,53,7,15,4071.62,29.81521347,14129.76,29%,47.31078336,663.0604358,1
January,54,7,15,1154.46,43.36806475,123732.32,1%,,663.1499475,1
February,54,7,14,1154.46,31.13019514,123732.32,1%,10000,636.9940772,1
March,54,22,14,1154.46,32.68645906,123732.32,1%,874.7145585,334.9357777,1
April,54,22,14,1154.46,38.99063467,123732.32,1%,532.1607307,308.2207384,1
May,54,20,14,1154.46,36.64159184,123732.32,1%,129.1812728,261.1825069,1
June,54,22,15,1154.46,31.24192774,123732.32,1%,96.70297297,264.4082365,1
January,55,22,14,2431.64,29.41972183,17251.38,14%,,310.8544878,1
February,55,17,14,2431.64,37.22594439,17251.38,14%,26.59867398,334.3696317,1
March,55,22,16,2431.64,27.59559906,17251.38,14%,132.443901,323.8929158,1
April,55,22,15,2431.64,28.12269302,17251.38,14%,169.3026601,305.3298236,1
May,55,49,20,2431.64,33.91486539,17251.38,14%,71.9105158,185.6984956,1
June,55,49,20,2431.64,32.70581751,17251.38,14%,54.07668314,344.1886691,1
January,56,52,22,125.25,26.61287178,36822.29,0%,121.4083759,335.4938145,1
February,56,49,20,125.25,23.33674451,36822.29,0%,259.7908045,340.5237241,1
March,56,49,20,125.25,29.24844181,36822.29,0%,132.9440996,331.9086578,1
April,56,45,21,125.25,35.08033049,36822.29,0%,73.93253934,334.8531878,1
May,56,49,20,125.25,28.3106512,36822.29,0%,114.4824364,327.7490915,1
June,56,49,20,125.25,39.64980173,36822.29,0%,38.11405466,195.3049632,1
January,57,6,10,997.28,38.73267646,80108.31,1%,107.0656525,268.8047724,1
February,57,6,10,997.28,26.17314465,80108.31,1%,52.18981024,309.7407407,1
March,57,6,10,997.28,26.72857312,80108.31,1%,549.0992911,267.4597245,1
April,57,6,12,997.28,39.91463675,80108.31,1%,123.1885231,349.5438459,1
May,57,6,7,997.28,32.94802192,80108.31,1%,341.3768772,254.7266881,1
June,57,6,10,997.28,32.40424137,80108.31,1%,228.0964591,222.3331814,1
January,58,1,7,3042.36,37.2171993,69977.6,4%,405.1493636,275.4314586,1
February,58,6,10,3042.36,30.46783632,69977.6,4%,470.8372043,322.7377426,1
